Name,Made from,Country of origin,Region,Family,Type,Fat content (in dry matter),Fat content,Calcium content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers,Synonyms,Alternative spellings
Pithtiviers au Foin,pasteurized cow's milk,France,"Centre , the department of Loiret",Camembert,"soft, artisan",,,,smooth,natural,pale yellow,"burnt caramel, fruity",grassy, no ,Kraft Foods Company,Bondaroy au foin,
Pizy ,pasteurized cow's milk,Canada,Quebec,Tomme,"soft, artisan, soft-ripened",,27%,,"creamy, smooth and soft",bloomy,ivory,"bitter, buttery, mild, milky, salty",mushroom,,Fromagerie La Suisse Normande,,
Pleasant Creek,goat's milk,United States,Oregon,Swiss Cheese,hard,,,,open and smooth,natural,yellow,"buttery, mild, nutty","fruity, grassy",yes ,Pholia Farm Creamery and Dairy,,
Pleasant Ridge Reserve,unpasteurized cow's milk,United States,Wisconsin,,"semi-hard, artisan",,,,"crystalline, firm and smooth",washed,golden yellow,"creamy, full-flavored, grassy, nutty",, no ,Uplands Cheese Company,Uplands Pleasant Ridge,
Plymouth Cheese,unpasteurized cow's milk,United States,Vermont,Cheddar,"hard, artisan",,,,"firm, flaky and grainy",waxed,yellow,"buttery, fruity, full-flavored, nutty, smokey , spicy, tangy","rich, smokey, strong",,Plymouth Artisan Cheese,,
Podhalanski,cow's and sheep's milk,Poland,,,"semi-hard, artisan",,40%,,creamy and open,natural,pale yellow,smokey ,smokey, no ,,,
Point Reyes Bay Blue,pasteurized cow's milk,United States,California,Blue,"soft, artisan",,,,creamy and crumbly,natural,pale yellow,"buttery, caramel, creamy, salty, sweet","earthy, strong",,Point Reyes Farmstead Cheese Company & The Fork,,
Point Reyes Original Blue,unpasteurized cow's milk,United States,California,Blue,"semi-soft, artisan, blue-veined",,,,buttery and creamy,natural,white,"creamy, milky, strong, sweet","fresh, milky, strong",yes ,Point Reyes Farmstead Cheese Company & The Fork,Original Blue,
Point Reyes Toma,pasteurized cow's milk,United States,California,,"semi-hard, artisan",,,,buttery and creamy,natural,ivory,"buttery, creamy",buttery,yes ,Point Reyes Farmstead Cheese Company & The Fork,,
Poivre d'Ane,"unpasteurized cow's, goat's and sheep's milk",France,,,"soft, artisan",,45%,,smooth,natural,white,herbaceous,, no ,,,
Pokolbin,cow's milk,Australia,Hunter Valley,,"semi-soft, smear-ripened",,,,,washed,,"sharp, spicy",, no ,Hunter Valley Cheese Company,,
Pompeii,cow's milk,Australia,South Australia,,"semi-hard, artisan, smear-ripened",,45%,,"crumbly, soft and supple",washed,cream,"herbaceous, sweet",herbal,yes ,Woodside Cheese Wrights,,
Pont l'Eveque,pasteurized or unpasteurized cow's milk,France,Basse-Normandie,,soft,,45%,,creamy,washed,pale yellow,full-flavored,, no ,,Pont L Eveque,Moyaux cheese
Port Nicholson,cow's milk,New Zealand,Wellington ,,semi-soft,,40%,,creamy and smooth,washed,orange,"sour, sweet",smokey,yes ,Kapiti Fine Foods Ltd,Kapiti Port Nicholson,
Port-Salut,pasteurized cow's milk,France,Brittany,,semi-soft,,72.7%,,creamy and smooth,washed,pale yellow,"acidic, mellow",, no ,Various,,"Port Salut, Port du Salut"
Postel,pasteurized cow's milk,Belgium,Postel,,,,,,,washed,,,, no ,,,
Pouligny-Saint-Pierre,unpasteurized goat's milk,France,Berry,,soft,,,,creamy and crumbly,natural,ivory,"acidic, sweet",goaty, no ,,,
Pourly,unpasteurized goat's milk,France,Burgund ,,"soft, artisan",,45%,,smooth,natural,pale yellow,sweet,fresh, no ,,,
Prairie Breeze Cheddar,pasteurized cow's milk,United States,Iowa,Cheddar,"hard, artisan",,,,"creamy, crumbly and grainy",natural,yellow,"nutty, sharp, sweet","grassy, mild",yes ,Milton Creamery LLC,,
Prairie Rose,,United States,Iowa,Swiss Cheese,"semi-hard, artisan",,,,creamy and open,natural,yellow,"creamy, full-flavored, smooth","grassy, mild, nutty",yes ,Milton Creamery LLC,,
Prairie Tomme,pasteurized sheep's milk,United States,Missouri,Tomme,"semi-hard, artisan",,,,firm and smooth,natural,cream,"buttery, nutty",, no ,Green Dirt Farm,,
Prastost,pasteurized cow's milk,Sweden,,Cheddar,semi-soft,,45-50%,,creamy,,yellow,"salty, spicy, strong","aromatic, rich", no ,Norrmejerier,"VODCheese, Saaland Pfarr, Priest Cheese",
President Brie,pasteurized cow's milk,France,,Brie,"soft, artisan, soft-ripened",,,,"buttery, creamy, runny and spreadable",bloomy,pale yellow,"buttery, creamy, subtle",rich,,Lactalis McLelland Ltd,"President Wee Brie, President Lingot Brie",
President Camembert,pasteurized cow's milk,United States,New York,Camembert,"semi-soft, soft-ripened",,,,"creamy, firm and soft",bloomy,cream,"creamy, earthy",rich,,President Cheese,,
President Fat Free Feta,pasteurized cow's milk,France and United States,New York,Feta,"firm, artisan, brined",,0 g/100g,30 mg/100g,crumbly,natural,white,"herbaceous, salty, tangy",fresh,,President Cheese,"Fat Free Feta Chunk, Fat Free Feta Crumbles",
President Light Brie,pasteurized cow's milk,France,New York,Brie,"soft, soft-ripened",,,,"creamy, runny and smooth",bloomy,white,"creamy, mild, nutty, tangy",strong,,President Cheese,,
President Madrigal ,cow's milk,France,Loire valley,Swiss Cheese,"semi-hard, artisan",,,,"open, smooth and soft",natural,straw,"nutty, sweet",,,President Cheese,,
Prima Donna,pasteurized or unpasteurized cow's milk,Holland and Netherlands,,Parmesan,hard,,,,"crumbly, crystalline, firm and grainy",natural,yellow,"full-flavored, nutty, sweet",,,Vandersterre Groep International B.V.  ,,
Prima Donna fino,pasteurized or unpasteurized cow's milk,Holland and Netherlands,,Parmesan,hard,,30.5 g/100g,921 mg/100g,"crumbly, crystalline and firm",natural,pale yellow,"full-flavored, nutty, sweet",rich,,Vandersterre Groep International B.V.  ,,
Prima Donna forte,,Holland and Netherlands,,Parmesan,hard,,33 g/100g,990 mg/100g,"crumbly, crystalline, flaky and grainy",natural,yellow,"nutty, strong, sweet",,,Vandersterre Groep International B.V.  ,,
Prima Donna leggero,pasteurized or unpasteurized cow's milk,Holland and Netherlands,,Parmesan,hard,,18.3 g/100g,1071 mg/100g,"crumbly, crystalline and firm",natural,yellow,"savory, sharp",,,Vandersterre Groep International B.V.  ,,
Prima Donna maturo,pasteurized or unpasteurized cow's milk,Holland and Netherlands,,Parmesan,hard,,32.3 g/100g,749 mg/100g,"crumbly, crystalline, firm and grainy",natural,yellow,sharp,,,Vandersterre Groep International B.V.  ,,
Primo Fresco,sheep's milk,United States,California,,"fresh soft, artisan",,,,"creamy, fluffy and spreadable",natural,white,"salty, savory, subtle, tangy","fresh, mild",yes ,Weirauch Farm and Creamery,,
Prince-Jean,pasteurized cow's milk,Belgium,,,"fresh soft, artisan",,,,creamy,natural,white,buttery,"fresh, rich", no ,,,
Prix de Diane,pasteurized cow's milk,United States,Maine,Brie,"soft, artisan",,,,"creamy, soft and soft-ripened",bloomy,pale yellow,"buttery, citrusy, creamy, subtle",rich,yes ,Lakin's Gorges Cheese LLC,,
Processed Cheddar,pasteurized cow's milk,,,Cheddar,"semi-hard, processed",,,,creamy and smooth,,,sharp,, no ,,,
Processed Smoked Gouda,pasteurized cow's milk,United States,Wisconsin,Gouda,"semi-hard, processed",,,,creamy,natural,straw,"creamy, mild, smokey ",smokey,,Emmi Roth USA,,
Promontory,pasteurized cow's milk,United States,Utah,Cheddar,"hard, artisan",,,,creamy and firm,,pale yellow,"buttery, citrusy","fruity, rich",yes ,Beehive Cheese Company,,
Provel,pasteurized cow's milk,United States,"St. Louis, Missouri",Cheddar,"soft, processed",,,,creamy and supple,plastic,white,"buttery, spicy",, no ,Churny,,
Providence,pasteurized goat's milk,United States,North Carolina,,"semi-soft, artisan",,,,compact and crumbly,washed,pale yellow,creamy,yeasty, no ,Goat Lady Dairy,,
Provoleta,pasteurized water buffalo's milk,Argentina,,Pasta filata,"semi-hard, artisan",,45%,316 mg/100g,"creamy, smooth and springy",,pale yellow,"mild, smokey ",fresh, no ,,Spinning Argentine provolone cheese,
Provolone,pasteurized or unpasteurized cow's milk,Italy,Po valley region,Pasta filata,"semi-hard, artisan",,,,"firm, grainy and open",waxed,pale yellow,"buttery, mild, sharp, spicy, sweet, tangy",pleasant,,,,
Provolone del Monaco,unpasteurized cow's milk,Italy,Naples,Pasta filata,"semi-hard, artisan",,40.5%,157 mg/100g,"firm, grainy and open",waxed,pale yellow,"buttery, spicy, sweet",pleasant, no ,,Provolone delmonaco,
Provolone Mandarino Gran Riserva,pasteurized or unpasteurized cow's milk,Italy,Veneto,Pasta filata,"semi-hard, artisan",,,,"elastic, stringy and supple",natural,white,"pronounced, spicy, subtle",spicy, no ,La Casearia Carpenedo S.r.l.,,
Provolone Valpadana,unpasteurized cow's milk,Italy,Milan to Udine,Pasta filata,"semi-hard, artisan",,,,"firm, grainy and open",waxed,pale yellow,"mild, smokey , spicy, sweet","pleasant, smokey", no ,,,
Président Fresh Goat Cheese,pasteurized goat's milk,France,Poitou-Charentes,,"fresh firm, artisan",,,,dense and smooth,natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",,President Cheese,"Président herb goat log, Président plain goat log",
PsycheDillic,pasteurized goat's milk,United States,California,,fresh soft,,,,"creamy, smooth and spreadable",rindless,white,"creamy, full-flavored, herbaceous",aromatic,yes ,Cypress Grove Chevre,,
Pule,donkey's milk,Serbia,Zasavica,,artisan,,,,crumbly,,white,,,,,,
Purple Haze,pasteurized goat's milk,United States,California,,fresh soft,,,,"creamy, crumbly, smooth and spreadable",rindless,white,"earthy, herbaceous",aromatic,yes ,Cypress Grove Chevre,,
Purple's a Must,pasteurized cow's and goat's milk,Canada and Italy,Lombardy,Blue,"semi-hard, artisan, blue-veined",,,,creamy and crumbly,mold ripened ,pale yellow,"full-flavored, strong",rich,,Fifth Town Artisan Cheese,,
Pyengana Cheddar,pasteurized cow's milk,Australia,Tasmania,Cheddar,"semi-hard, hard, artisan",,,,"creamy, crumbly and smooth",natural,pale yellow,"acidic, full-flavored, herbaceous, savory, spicy","grassy, herbal", no ,Pyengana Dairy Company,,
Pyramide,pasteurized goat's milk,France,Loire Valley,,"soft, artisan",,,,crumbly,natural,ivory,,pungent, no ,,,
Quadrello di Bufala,pasteurized water buffalo's milk,Italy,Lombardy,,"semi-soft, artisan",,,,"creamy, elastic, open and sticky",washed,ivory,"grassy, sweet","earthy, mushroom, stinky", no ,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola,,
Quark,pasteurized cow's milk,"Australia, Austria, Belarus, Czech Republic, Denmark, Germany, Holland, Hungary, Norway, Poland, Russia, Sweden and United States",,Cottage,"fresh soft, artisan",,,,creamy and smooth,rindless,white,"mild, milky","milky, sweet",yes ,Barambah Organics Pty Ltd.,"Tvorog, Twaróg, Quarck, Qark, Tyros, Tyr, Turo, Tvarog, Topfen, Plattekaas, Kwark, Kvark",
Quartirolo Lombardo,,,"Lombardy (provinces of Bergamo, Brescia, Como, Cremona, Milan, Pavia and Varese)",,,,30%,,,natural,pale yellow,,, no ,,,"Ripe PDO Quartirolo, PDO Quartirolo Lombardo"
Quatre-Vents,unpasteurized goat's milk,France,,,"soft, artisan",,45%,,firm,natural,white,sweet,"fresh, goaty", no ,,,
Queijo do Pico,unpasteurized cow's milk,Portugal,Azores,,soft,,45-49%,,smooth and soft,natural,pale yellow,"creamy, salty, sour","aromatic, pleasant",,,,
Queijo do serro,unpasteurized cow's milk,Brazil,"Serro , Minas Gerais",,artisan,,,,smooth,,yellow,acidic,, no ,,,
Quercy Petit,goat's milk,France,Quercy  ,,soft,,,,,,,citrusy,"fresh, herbal", no ,,,
Queso Blanco,pasteurized cow's and goat's milk,Mexico,,Cottage,fresh soft,,,,"crumbly, firm and smooth",rindless,white,"mild, milky","aromatic, fresh",yes ,Karoun Dairies Inc.,,Queso Fresco
Queso Blanco con Frutas - Pina y Mango,pasteurized cow's milk,Mexico and Caribbean,,Mozzarella,soft,,,,elastic and springy,natural,straw,"fruity, lemony",aromatic, no ,,white cheese with fruit,
Queso de Afuega'l pitu,cow's milk,Spain,Asturias ,,"soft, artisan",,,,creamy,,ivory,,aromatic,,,"Queso de Afuega, Troncado/Atroncáu, Trapo/Trapu, Blanco/Blancu, Roxu/Rojo",
Queso de Mano,unpasteurized goat's milk,United States,Colorado,,"semi-hard, artisan",,,,"creamy, firm, open and smooth",natural,ivory,"buttery, earthy, grassy, herbaceous, mild, nutty","goaty, herbal",yes ,Haystack Mountain Goat Dairy,,
Queso de Murcia,pasteurized goat's milk,Spain,Murcia,,"semi-soft, artisan",,,,"creamy, elastic and open",washed,ivory,"acidic, creamy, salty",mild, no ,,"Murcian wine cheese, queso de Murcia al vino, murica al vino, Murcian cheese, Drunken Goat, Vino al Murcia, Cabra al Vino",
Queso del Montsec,unpasteurized goat's milk,Spain,Catalonia,,"soft, artisan",,,,creamy and grainy,natural,,"herbaceous, spicy","earthy, grassy",yes ,,,
Queso del Tietar,unpasteurized goat's milk,Spain,Arena San Pedro in Avila ,,"hard, artisan",,40%,,creamy,,yellow,"acidic, nutty, salty, sharp","goaty, mushroom, raw nut", no ,,Monte Enebro,
Queso Fresco (Adobera),pasteurized cow's milk,Mexico,,Cottage,fresh soft,,,,"crumbly, firm and grainy",natural,ivory,"mild, salty, spicy",fresh,,Quesos Navarro,Queso Adobera,
Queso Iberico,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Spain,,,hard,,45%,,firm and oily,natural,white,"buttery, nutty, strong","aromatic, rich", no ,"Manzano Central Quesera,S.L. Fabrica de Quesos",,
Queso Jalapeno,pasteurized cow's milk,Mexico,,Mozzarella,soft,,,,"elastic, springy and stringy",,yellow,"creamy, spicy",, no ,Cacique,,Queso Quesadilla Jalapeno
Queso Media Luna,,Mexico and Caribbean,Puerto Rico,Cheddar,"soft, artisan",,,,creamy,natural,pale yellow,smooth,fresh, no ,"Specialty Cheese Company, Inc",,
Queso Para Frier,pasteurized cow's milk,Mexico and Caribbean,,Cottage,soft,,,,"creamy, crumbly and firm",rindless,white,"mild, salty",fresh,yes ,Cale Frozen Products,,Queso Para Freir
Rabacal,goat's and sheep's milk,Portugal,Rabaçal,,"soft, semi-hard, hard, artisan",,50-60%,,open,natural,white,smooth,, no ,,,
Ragstone,unpasteurized goat's milk,"England, Great Britain and United Kingdom","Neal’s Yard Creamery, near Dorstone, Herefordshire",,"soft, artisan",,,,creamy and smooth,bloomy,white,"lemony, milky, savory","lactic, milky", no ,Neal's Yard Dairy,,
Ragusano,unpasteurized cow's milk,Italy,Sicily,Pasta filata,"hard, artisan",,45%,,chewy and open,natural,straw,"savory, spicy, sweet","pleasant, sweet", no ,Luigi Guffanti 1876 s.r.l.,Scaluni,"Caciocavallo Ragusano, Formaggio Ragusano DOP , Ragusano DOP "
Raschera,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Italy,Cuneo,,"hard, artisan",,43-53%,,"firm, open and supple",natural,ivory,"mild, salty, savory, spicy",strong, no ,,,Raschera D’alpeggio
Raw Brie Style Cashew Cheese,,Canada,Ontario,Brie,"firm, artisan",,,,creamy and firm,,white,"creamy, nutty",nutty,Producers: Zengarry Vegetarian Cuisine,Zengarry Vegetarian Cuisine,,
Raw Milk Feta,unpasteurized goat's milk,United States,California,Feta,"firm, artisan, brined, whey",,9%,,"crumbly, soft and supple",rindless,white,"acidic, creamy, milky, salty","fresh, milky",yes ,Redwood Hill Farm & Creamery,,
Raw Milk Goat Feta,unpasteurized goat's milk,United States,Sonoma ,Feta,"semi-hard, artisan",,9%,,creamy and crumbly,,ivory,"mild, milky","mild, milky",yes ,Redwood Hill Farm & Creamery,Goat Milk Feta,
Re di Pecora Erborinato al Tè Nero,pasteurized sheep's milk,Italy,Emilia-Romagna,Parmesan,"semi-hard, artisan",,,,compact,leaf wrapped,golden yellow,"smooth, sweet","aromatic, pleasant",,Romaniae Terrae,,
Reblochon,unpasteurized cow's milk,France,Haute-Savoie ,,"semi-soft, artisan, smear-ripened",,,,"close, compact, smooth and supple",washed,ivory,"fruity, mild, nutty","earthy, herbal", no ,Entremont,,Reblochon Fermier
Red Alder,pasteurized cow's milk,United States,Port Townsend,,semi-soft,,,,creamy and open,natural,pale yellow,"caramel, earthy, fruity, nutty","musty, pleasant", no ,Mt. Townsend Creamery,,
Red Buddy,unpasteurized cow's milk,United States,NY,Swiss Cheese,"semi-hard, artisan",,,,crumbly,natural,yellow,"nutty, sharp, sweet",,,Muranda Cheese Company,,
Red Cloud,unpasteurized goat's milk,United States,Colorado,,"semi-hard, artisan",,,,creamy and firm,washed,cream,"grassy, nutty","barnyardy, goaty, pungent",yes ,Haystack Mountain Goat Dairy,,
Red Dragon Truckle,pasteurized cow's milk,United Kingdom and Wales,Abergavenny,Cheddar,semi-soft,,,,firm and smooth,waxed,straw,"buttery, mild, spicy, tangy",,yes ,Abergavenny Fine Foods,"Red Dragon, Y Fenni",
Red Hawk,pasteurized cow's milk,United States,California,Brie,"soft, brined",,,,creamy and soft,washed,pale yellow,"full-flavored, savory","grassy, herbal",yes ,Cowgirl Creamery,,
Red Leicester,unpasteurized cow's milk,United Kingdom,Leicestershire,Cheddar,"hard, artisan",,48%,,crumbly and dense,cloth wrapped,orange,"burnt caramel, full-flavored, sweet",rich, no ,"Leicestershire Handmade Cheese Company, Taw Valley Creamery","Leicester, Leicestershire",
Red Windsor,pasteurized cow's milk,England and United Kingdom,England,Cheddar,semi-hard,,30 g/100g,,"creamy, crumbly and firm",natural,pink and white,"creamy, fruity, mild",,yes ,Long Clawson Dairy Limited,,
Red Wine Rebel,unpasteurized cow's milk,Austria,Sulzberg,,"semi-hard, artisan",,48%,,creamy,natural,yellow,"creamy, nutty, woody","aromatic, fruity, milky, pleasant",,Sulzberger Käserebellen Sennerei GmbH,Rotweinrebell,
Redwood Hill Goat Cheddar,pasteurized goat's milk,United States,"Sebastopol, California",Cheddar,"semi-hard, artisan",,12%,,firm and smooth,rindless,pale yellow,"mild, savory, sweet","mild, sweet",yes ,Redwood Hill Farm & Creamery,"Redwood Smoked Goat Milk Cheddar, Redwood Aged Goat Milk Cheddar",
Regal Blend,pasteurized cow's milk,United States,Wisconsin,Parmesan,"hard, artisan",,,,"crumbly, dry and firm",natural,pale yellow,"piquant, savory, sharp, spicy",,yes ,Sartori ,,
Regal de la Dombes,pasteurized cow's milk,France,Jura,,"soft, artisan",,,,smooth,natural,white,smooth,fresh, no ,,,
Reggianito,pasteurized or unpasteurized cow's milk,Argentina,,Parmesan,hard,,,,"crumbly, flaky and grainy",natural,straw,"full-flavored, salty",, no ,,,
ReginaBlu,pasteurized cow's milk,Germany,Landshut,Blue,"soft, blue-veined",65%,36 g/100g,,creamy,,ivory,"creamy, mild",aromatic,,Bayerische Milchindustrie eG,,
Remedou,cow's milk,Belgium,Land of Herve,,hard,,40%,,,,yellow,,"stinky, strong", no ,,,
Requeson,"pasteurized or unpasteurized cow's, goat's or sheep's milk",Brazil and Portugal,"Serra da Estrela, Portugal",,"fresh soft, whey",,,,"creamy, grainy, smooth and spreadable",rindless,white,"salty, strong",fresh,,Peluso Cheese,Requeijao,
Reverie,unpasteurized cow's milk,United States,Vermont,Tomme,semi firm,,,,compact and crumbly,washed,pale yellow,"mushroomy, sharp, sweet, tangy","earthy, milky", no ,Parish Hill Creamery,,
Reypenaer,,Netherlands,Utrecht,Gouda,"semi-hard, artisan",,,,creamy and flaky,natural,golden yellow,creamy,aromatic,,Reypenaer Kaas Proeflokaal,,
Reypenaer V.S.O.P.,pasteurized cow's milk,Netherlands,Utrecht,Gouda,"hard, artisan",,,,"crumbly, dense, firm and flaky",natural,golden yellow,"butterscotch, caramel, creamy, tangy",aromatic,,Reypenaer Kaas Proeflokaal,,
Reypenaer XO Reserve,pasteurized cow's milk,Netherlands,Utrecht,Gouda,"hard, artisan",,,,"crumbly, dense and flaky",natural,golden yellow,"sharp, strong","aromatic, rich",,Reypenaer Kaas Proeflokaal,,
Rheba,goat's and sheep's milk,United States,"Tieton, Washington",,"semi-soft, soft-ripened",,,,soft,washed,cream,full-flavored,aromatic,,Tieton Farm & Creamery,,
Richelieu,pasteurized goat's milk,Canada,"Noyan, Quebec",Tomme,"semi-soft, artisan",,24%,,supple,washed,straw,"milky, nutty",barnyardy, no ,Fromagerie Fritz Kaiser,,Le Tomme du Haut Richelieu
Ricotta (Australian),pasteurized cow's milk,Australia,,,"fresh soft, whey",,,,"creamy, firm, fluffy and spreadable",rindless,white,"creamy, mild",fresh, no ,Alba Cheese,,
Ricotta di Bufala,pasteurized water buffalo's milk,Italy,Lombardy,Cottage,"fresh firm, artisan, whey",,,,"creamy, firm, fluffy and grainy",natural,white,"subtle, sweet","fresh, rich",,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola,,
Ricotta di Pecora,unpasteurized sheep's milk,Italy,Tuscany,Cottage,"fresh soft, whey",,,,creamy and crumbly,natural,white,"creamy, sweet","fresh, grassy",,Caseificio Pinzani Srl ,,
Ricotta Salata,sheep's milk,Italy,Sicily,Pecorino,"hard, whey",,,,firm,rindless,white,salty,, no ,,,"Ricotta Pecorino, Ricotta secca"
Ridder,cow's milk,Norway,,,semi-hard,,60%,,creamy,washed,,"nutty, sweet",, no ,,,
Ridgeline,cow's milk,United States,Fairview,,semi-hard,,,,creamy,natural,pale yellow,"caramel, nutty, subtle",mild,,Looking Glass Creamery,,
Rigotte,unpasteurized goat's milk,France,Parc Naturel Régional du Pilat in the Rhône-Alpes,,"soft, artisan",,45%,,creamy,natural,ivory,"acidic, sweet","goaty, nutty",,,,Rigotte de Condrieu 
Ringwell,unpasteurized cow's milk,England,Somerset,Cheddar,"semi-soft, artisan",,,,creamy and crumbly,natural,pale yellow,"creamy, mild, tangy",mild,yes ,Wootton Organic Dairy,,
Roaring Forties Blue,pasteurized cow's milk,Australia,Tasmania,Blue,"semi-soft, artisan",,,,creamy and smooth,waxed,cream,"full-flavored, nutty, sweet",rich, no ,King Island Dairy,,Roaring 40s Blue
Roasted Garlic Cheddar,unpasteurized cow's milk,United States,NY,Cheddar,"semi-hard, artisan",,,,crumbly,natural,yellow,"full-flavored, garlicky, sharp",strong,,Muranda Cheese Company,,
Rocamadour,unpasteurized goat's milk,France,"Perigord, Quercy",,"semi-soft, artisan",,,,,natural,white,"nutty, strong",goaty, no ,,Cabécou de Gramat,Cabécou de Rocamadour
Roccia del Piave,pasteurized cow's milk,Italy,"Treviso, Veneto",,"semi-hard, artisan",,,,crumbly,natural,ivory,strong,clean,,Moro Latteria di Moro Sergio,,
Rochebaron,pasteurized or unpasteurized cow's or sheep's milk,France,Pouligny-Saint-Pierre ,Blue,"soft, blue-veined",,55%,,creamy,mold ripened ,cream,"creamy, mushroomy",strong, no ,,Montbriac,
Rofumo (Smoked Fontina),pasteurized cow's milk,United States,Wisconsin,,hard,,,,creamy and supple,natural,ivory,"smokey , smooth","smokey, woody",,Emmi Roth USA,,
Rollot,cow's milk,France,Rollot ,,semi-soft,,,,firm,washed,yellow,"bitter, salty, spicy, strong","fruity, yeasty", no ,,,
Romaniae Terrae Pecorino allo Zafferano,unpasteurized sheep's milk,Italy,Emilia-Romagna,Pecorino,"semi-soft, artisan",,,,compact and smooth,natural,white,"creamy, floral, mild, sweet","aromatic, rich",,Romaniae Terrae,,
Romano,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Italy,,Parmesan,hard,,,,"brittle, crumbly, dense and flaky",natural,pale yellow,"mild, sharp, tangy",strong,yes ,,,
Romans Part Dieu,unpasteurized cow's milk,France,"Dauphiné, Rhône-Alpes",,"soft, artisan",,,,creamy,mold ripened ,white,"acidic, nutty",barnyardy, no ,,,
Roncal,unpasteurized sheep's milk,Spain,Navarre,,"hard, artisan",,,,"firm, grainy, open and smooth",natural,ivory,"buttery, herbaceous, sharp, spicy, sweet","earthy, mushroom, nutty", no ,Quesos la Vasco Navarra S.A.,,
Rondo,pasteurized cow's and goat's milk,United States,California,,"soft, soft-ripened",,,,creamy,natural,cream,"herbaceous, tart",pleasant,,Andante Dairy ,,
Roque River Blue - Special Reserve,cow's milk,United States,Oregon,,"semi-soft, blue-veined",,,,creamy,leaf wrapped,pale yellow,"fruity, strong, sweet",fresh,,Rogue Creamery,,
Roquefort,unpasteurized sheep's milk,France,region surrounding Roquefort-sur-Soulzon,Blue,"semi-soft, artisan, blue-veined",,,,creamy and crumbly,natural,blue,"salty, sharp, tangy",, no ,,,
Rosemary Medium Asiago,pasteurized cow's milk,United States,Wisconsin,,"hard, artisan",,,,crumbly and smooth,natural,cream,"herbaceous, savory, sharp, sweet",herbal,yes ,Stella,,
Rosso ,sheep's milk,Italy,Campania,Pecorino,"semi-hard, artisan",,,,compact,natural,ivory,"grassy, sweet","aromatic, spicy",,Casa Madaio,Rosso pecorino,
Rosso de lago,pasteurized cow's and sheep's milk,Italy,Piedmont,,"soft, soft-ripened",,43.5%,,smooth,natural,white,mild,fresh, no ,La Casera srl,,
Roth Raclette,pasteurized cow's milk,United States,Wisconsin ,,semi-hard,,,,"firm, smooth and soft",natural,pale yellow,"mild, nutty",aromatic,,Emmi Roth USA,"Roasted Garlic Raclette, Montanella™ Original Raclette, Mediterranean Raclette, 5 Peppercorn Raclette",
Rotwein Bärgler Extra-Würzig,unpasteurized cow's milk,Switzerland,Bern,Swiss Cheese,"hard, artisan",,45%,,creamy and crumbly,natural,yellow,"full-flavored, pronounced, spicy",strong,,Affineur Walo of Mühlenen,Extra spicy red wine Bärgler,
Rougette Bavarian Red,pasteurized cow's milk,Germany,Allgäu,Brie,"soft, soft-ripened",,,,buttery and creamy,washed,pale yellow,"buttery, creamy",mild,yes ,Käserei Champignon,,
Rougette Grill Meister,pasteurized cow's milk,Germany,Allgäu,,"soft, soft-ripened",,,,buttery,natural,pale yellow,buttery,rich,yes ,Käserei Champignon,Rougette Landkäse,
Roule,pasteurized cow's milk,France,Rians,,"fresh soft, artisan",,45%,,"creamy, smooth and spreadable",natural,white,"spicy, sweet, tangy","herbal, rich", no ,Laiteries Hubert Triballat SA,,
Rouleau De Beaulieu,unpasteurized goat's milk,France,Ardeche,,"soft, artisan",,,,smooth,natural,straw,mild,fresh, no ,,,
Roumy,cow's and water buffalo's milk,Egypt,,Parmesan,hard,,,,crumbly,natural,yellow,"salty, sharp, strong",pungent,,,"Ras, Gebnah Torky","Romy, Romi , Gebnah Romy"
Royal Rebel,unpasteurized cow's milk,Austria,Sulzberg,,"hard, artisan",,50%,,"compact, firm and smooth",natural,golden yellow,"salty, spicy, strong","aromatic, fruity, sweet",,Sulzberger Käserebellen Sennerei GmbH,Kaiserrebell,
Royalp Tilsit,pasteurized or unpasteurized cow's milk,Switzerland,Emmental Valley,,"semi-hard, smear-ripened",,30 - 60%,,"elastic, firm, open and springy",washed,pale yellow,"creamy, mild, piquant, spicy",strong, no ,"Heidi Farm, Various","Tilsit, Danish Tilsit, Tilsit Havarti, Tilsiter , Swiss Tilsit",
Rubens,cow's milk,Belgium,,,semi-soft,,,,,washed,,,, no ,,,
Rubi,goat's milk,Australia,South Australia,,"semi-soft, artisan, soft-ripened",,40%,,"creamy, firm, soft and soft-ripened",bloomy,white,"acidic, creamy, mild, milky","lactic, mild",yes ,Woodside Cheese Wrights,,
Rupert ,unpasteurized cow's milk,United States,Vermont,Swiss Cheese,"semi-hard, artisan, smear-ripened",,,,firm and smooth,washed,golden yellow,"butterscotch, buttery, fruity, nutty, sharp, sweet","grassy, rich, sweet",yes ,Consider Bardwell Farm,,
Rustico Red Pepper,pasteurized sheep's milk,Italy,,,semi-soft,,,,creamy and flaky,,,"mild, spicy","mild, spicy",,,Rustico Red Pepper Pecorino,
Rustinu,unpasteurized sheep's milk,France,,,"soft, artisan, soft-ripened",,45%,,firm,natural,pale yellow,sweet,fresh, no ,,,u Rustinu
