Name,Producer,Country,Region,Size,Weight,Website,Milk,Treatment,Classification,Rennet,Rind,Style,Flavor,Description
Almnäs Tegel,Almnäs Bruk,Sweden,Västra Götaland,20 in x 18 in x 5 in,57-59 lbs,www.almnas.com,Cow,Raw,Hard,Animal,Natural,Alpine-style,,"Tegel (which translates to “brick” in Swedish) is produced at Almnäs Bruk, an organic farm situated on the picturesque west coast of the second largest lake in Sweden, Lake Vättern. The history of the cheese dates back to the 18th century, when the estate was home to a brick factory. Bricks were left out in the sun to dry, and children on the farm would run over them while playing, leaving behind their footprints. The footprint became the logo of the brick company, and later, the symbol of Almnäs Tegel cheese. Subsequent owners, including great-grandfather of managing director Thomas Berglund, transformed the brick factory into a cheesemaking facility. They produced Wrångebäck Sweden, the country’s first officially registered cheese, until 1961. In 1987 due to his father’s poor health, Berglund returned to the estate from Switzerland, where had had been working, and decided to start making cheese again. After many years of planning, traveling to France and Switzerland to study cheesemaking, and gaining organic certification, he started production in 2008. To make Tegel, milk from the farm’s herd of 400 Holstein cows is pumped into a copper vat, two cultures are added, and the milk is warmed to 89 degrees. Rennet is added, and after about 35 minutes the curd is cut with rotating harps. Curd is stirred while being warmed to 123 degrees, then the contents of the vat are emptied into 14 square molds. After 19 hours of pressing, cheeses are imprinted with four footprints, then brined for 48 hours. During a subsequent aging period of 18-30 months, cheeses are washed with salt water less and less frequently.As it ages, Almnäs Tegel’s rind changes from creamy white to orange, ultimately turning into a deep reddish brown.As it ages, Almnäs Tegel`s flavor becomes increasingly rich and complex, with a saltiness and a prickliness on the tongue balanced by sweetness, caramel and a hint of grass.Pair it with a chardonnay, a riesling, a hard cider, or a bock beer."
Alpha Tolman,Jasper Hill Farm,United States,Vermont,"14 ins diameter, 5 ins high",20 lbs,www.jasperhillfarm.com,Cow,,Firm,Animal,Washed,Alpine-styleGouda-likeWashed-Rind,,"Located in the beautiful, rolling countryside of the Northeast Kingdom in Vermont, Jasper Hill Farm was bought by brothers Andy and Mateo Kehler in 1998. When the farm came into their possession, it was extremely run-down, but by 2003, after five years of hard work, Andy and Mateo acquired their first 15 Ayrshire heifers. The herd now numbers around 45 and, thanks to careful management and focus on building excellent genetics, they have one of the highest quality milking herds in the United States. Ayrshire milk is particularly well-suited to cheesemaking. In terms of fat and protein, it`s not as high as Jersey or Guernsey but not as low as Holstein. The way in which the fats and proteins break down are a perfect platform for the development of an excellent cheese. The herd grazes from late spring to early fall and over successive years the grazing land at Jasper Hill has been improved by planting a wide variety of clovers, grasses and legumes to enhance the flavor of the milk. In addition to the farm and cheesemaking, the brothers have also developed another arm of the business, The Cellars at Jasper Hill. The Cellars, which comprise of 22,000 square feet of cheese maturing caves were designed and built not only to house Jasper Hill`s own cheeses but also to mature the cheeses of several other Vermont based producers. Jasper Hill`s own range of cheeses includes Alpha Tolman, Bayley Hazen Blue, Constant Bliss, Harbison, Moses Sleeper and Winnimere. Named after a local Greensboro Ancestor who was a philanthropic dairy farmer, Alpha Tolman is made using the traditional Alpine methods of cheesemaking. For production of this cheese, milk is sourced from a dairy called Andersonville Dairy, located in nearby Glover and the wheels are made at a second cheesemaking facility, also operated by Jasper Hill at the Food Venture Center in Hardwick, VT. By cooking and pressing the curds during production, the finished cheese has a tight, slightly elastic texture with robust and complex flavors. Newly formed wheels are regularly washed with a cultured brine that cultivates a red-orange rind and a depth of flavor to the interior paste. Young wheels have lactic notes balanced with a hint of citrus and an aroma of damp cellar. With age, wheels develop more meaty flavors accompanied by undertones of butter and caramelized onion.The interior paste of the cheese also becomes more dense and slightly crystalline.Alpha Tolman makes an ideal cheese for fondue or melted over fingerling potatoes. Also, try pairing it with a robust ale or a rich, plum-like red wine, or onion jam."
Alpine Gold,The Farm House Natural Cheeses,Canada,British Columbia,8 in diameter x 3 in height,3.5 lbs,www.farmhousecheeses.com,Cow,Pasteurised,Semi Soft,Animal,Washed,Washed-RindAlpine-style,,"The Farm House Natural Cheeses are produced in the lush Fraser Valley of British Columbia. Owners George Boyes and Debra Amrein-Boyes run the farmstead operation along with their adult children. Debra, cheesemaker and cookbook author, is one of only twelve persons in western Canada and the US who has been inducted into the prestigious French Cheese Guild known as Guilde des Fromagers Confrerie de Saint-Uguzon.  The Boyes family’s herd of Guernsey and Brown Swiss cows and goats graze in grass fields during summer and on organic hay in winter. No pesticides, hormones or antibiotics are used on the farm. Alpine Gold is a washed-curd, washed-rind cheese. Aged at about 56 degrees Fahrenheit for a minimum of 6 weeks, wheels are washed three times per week with a brine solution, encouraging the development of a golden-orange rind.Alpine Gold has a straw colored, semi-soft interior that is rich and savory with floral and grassy notes.Pair Heidi with a Riesling or a Gewurztraminer, or with a golden ale.  "
Alpine Style (Kennebec),Kennebec Cheesery,United States,Maine,9 in diameter x 5 in height,6 lbs,www.kennebeccheesery.com,Goat,Pasteurised,Hard,Animal,Waxed,Alpine-style,,"Kennebec Cheesery is run by mother-daughter team Jean Koons and Linnea Koons Morrison. Originally from New Zealand, both Jean and Linnea were raised on farms. They moved to the U.S. about 15 years ago, settling into a property in Maine that has belonged to Jean’s husband’s family for several generations. Now they produce small batches of cheese each day, using milk from their herd of approximately 28 goats, sometimes also using organic Jersey milk from a neighbor’s farm. Inspired by cheeses of the Alps such as Comté and Gruyère, yet produced using goat’s milk, Alpine Style is aged 6-9 months before sale.At the end of the aging process the result is a creamy but firm cheese that lends itself to crumbling or grating. Like its famous Alpine predecessors, this cheese has aromas of toasted butter, nuts and grass. The slightly chewy paste is speckled with amino acid crystals. Flavor is round and sharp, nutty and earthy with a slight tang.Pair Alpine Style with a Riesling or with a port. For beer pairings, try something crisp and hoppy such as Maine Beer Company’s Zoe."
Alter Schweizer,Kaeserei Studer,,Thurgau,"14 ins diameter, 2.5 ins high",14 lbs,www.kaeserei-studer.ch,Cow,Pasteurised,Firm,Animal,NaturalWashed,Alpine-styleWashed-Rind,,"Alter Schweizer (which translated means “Old Swiss”) is made by Daniel Studer at Kaeserei Studer AG in Hatswil. The dairy is located close to the Bodensee and the German border, just outside the town of Amriswil, in the very north eastern corner of Switzerland. Kaeserei Studer forms part of a consortium called Bodensee Kaese, which comprises four dairies in one small region. Each dairy produces its very own, unique cheeses. However, when it comes to marketing and selling them, they join forces, marketing them collectively with a regional identity.  Studer’s range of firm and hard cheeses are made exclusively from silage-free cow’s milk, sourced from locally grazed herds.  The concept behind production of Alter Schweizer was to create a cheese that resembles the traditional Swiss wheels produced several centuries ago. In other words, an original, rustically satisfying table cheese that can be stored for a very long time. Made from pasteurized, whole milk with the addition of animal rennet, Alter Schweizer is produced in the style of a Gruyere - although Studer actually uses cultures that differ from a classic Gruyere, without revealing which ones. After coagulation and as soon as the curd is in the forms, pressing takes place for approximately 24 hours. The wheels are then immersed in a salty brine bath for 48 hours before being transferred into the aging cellar. Cheeses are washed regularly with a brine solution during the first six months of their maturation and, depending on the season they were made and the characteristics of the milk used, are normally aged for at least ten months prior to release. The texture of Alter Schweizer is firm, dense and smooth, with richly complex flavors of toasted walnuts, brown butter with sweet barnyard aromas. Interestingly, even with the most aged wheels, when the interior becomes slightly brittle, flavors remain balanced, never becoming overly sharp or salty as can sometimes happen with other cheeses made in this style."
Amablu St Pete's Select,Faribault Dairy Company Inc.,United States,Minnesota,"7-8 ins diameter, 5-6 ins high",6.5 lbs,www.faribaultdairy.com,Cow,Heat Treated,BlueSemi Soft,Animal,RindlessNone,Blue,,"Founded in June 2001, Faribault Dairy Company is located near Faribault, Minnesota in a region renowned for its St. Peter sandstone caves. Found only in Minnesota, Iowa, Illinois and northern Missouri the sandstone caves are uniquely suited as an environment for aging cheese and have been used for this purpose since December 1936, when Felix Frederickson purchased the caves and first began making blue cheese. Fast forward to 2002 when the first vats of Amablu St Pete`s Select were made in the newly renovated Faribault cheese plant. Faribault Dairy is committed to the production of blue veined cheeses, all of which are sold under the Amablu name. Production takes place using non-GMO ingredients and heat-treated cow`s milk.St Pete`s Select has a rich, smooth flavor with a pronounced piquant note.The paste of the cheese has an attractive milk-white body with prominent blue veining."
Ameribella,Jacobs and Brichford,United States,Indiana,Approx. 7 in x 5 in x 3 in,2.6 lbs,jandbcheese.com,Cow,Raw,Semi Soft,Animal,,Washed-Rind,,"In the heart of Southeastern Indiana’s Whitewater Valley, on a farm that has been in the Brichford family since 1819, Jacobs and Brichford Farmstead Cheese produces raw milk cheese from their own grass-fed cows. Their herd of Jersey, Normande, and Tarantaise cross cows are grazed through fresh pastures every day, and the dairy follows nature’s milking rhythm, operating on a seasonal basis.  In the mid-1990’s, the farm, run by Leslie Jacobs and Matthew Brichford, transitioned from raising beef cattle to dairying. In 2010, after years of studying cheesemaking, they built their cheese plant and sold their first cheese two years later. A family venture, Matthew Brichford manages the farm and makes the cheese, while Leslie Jacobs takes care of marketing with their daughter Maize and daughter Miah handles milking and grazing management.  Jacobs and Brichford follow a European influence with their cheeses, says Leslie Jacobs, and they wanted to meld those influences with something unique for Ameribella, which was released in June 2012. Inspired by the cheeses of Northern Italy, like Taleggio, Ameribella is a semi-soft, washed rind cheese with a salty and savory flavor. Ameribella is brick-shaped with a distinct orangey-pink rind, assertive aroma, and pliant pudgy interior.  After the curdling process, Ameribella is aged for a minimum of 60 days in a cool aging room. For the first 45 days, the block is wiped with a brine solution—giving it a distinct orange rind. It’s then wrapped in ripening papers and flipped for the next 15 days. After 60 days, it’s ready to be sold. According to Jacobs, blocks aged a bit longer—even up to four months—are the tastiest, though with high demand, Ameribella doesn’t tend to make it that long.On the nose, Ameribella has a pungent aroma reminiscent of yeasty bread. The golden-colored paste is doughy and scattered with eyes. On the palate, it’s savory, salty, and slightly lactic with assertive flavors of mustard and yeast. With age, the flavor sweetens, adding complexity, and the paste becomes runnier.Ameribella is full-flavored enough to eat alone or paired simply with crusty bread and charcuterie. It’s well-suited by crisp sides like slices of cucumber or pears. In cheesy dishes like risottos or macaroni and cheese, Ameribella adds a delicious complexity of flavor."
American Grana,BelGioioso Cheese Co.,United States,Wisconsin,"8” tall, 14.5” diameter",70 lbs,www.belgioioso.com,Cow,Raw,Hard,Animal,Natural,Grana / Grating cheese,,"Founded by Errico Auricchio, BelGioioso Cheese is a cheesemaking operation based in Green Bay, Wisconsin. Errico comes from a family of cheese makers who have been producing Provolone in Italy for over a century. In 1979, he moved his family to the United States and opened his own Italian cheese company. Over the last thirty years, BelGioioso has grown to include seven manufacturing facilities in Northeastern Wisconsin. Using the milk of Wisconsin dairy farmers, the company produces over 25 types of cheese. However, each facility produces only a select few of these cheeses, thereby ensuring high quality and consistency. This has resulted in multiple awards, including several United States, World and American Cheese Society Awards. American Grana is based on the famous Grana Padano of Italy. Made from raw cow’s milk, it is aged for a minimum of 18 months in BelGoioso’s caves. During its maturation, the cheese is turned twice a week by hand to ensure even aging.As a result, this cheese’s light yellow paste and a hard, granular texture with a touch more moisture than Italian Grana Padano. The flavor of American Grana is of rich, roasted nuts and salty sharpness, which lingers on the tongue.This cheese has the perfect texture to grate over pasta dishes or salads, and can also be served with fresh green apples or grapes. It is best paired with complex beers and ales, or bold red wines, especially Italian reds made from Tempranillo grapes."
Anabasque,Landmark Creamery / Standard Market,United States,Wisconsin,11 in diameter,10-12 lbs,www.landmarkcreamery.com,Sheep,Pasteurised,Firm,Vegetable,Washed,Washed-Rind,,"Inspired by Ossau Iraty, a classic sheep’s milk cheese from the French Basque country, this is a Wisconsin-made, hearty-yet-munchable cheese. Expect sweet aromas, mild hits of salt and a bright, clean finish. Anabasque is made in Wisconsin at Landmark Creamery, which is run by a pair of Annas: Anna Landmark and Anna Thomas Bates. “This either makes things very confusing, or very simple,” they say. After meeting at a potluck for Green Country Women in Sustainable Agriculture in 2012, Landmark (who’d had a small sheep and goat farm) and Thomas Bates (a food writer) decided to form a partnership. Landmark is in charge of cheesemaking, while Thomas-Bates is in charge of sales. The Annas currently partner with two dairies to source milk, using space rented at Clock Shadow Creamery to produce their cheese. Sheep’s milk is sourced from Sam and Abe Enloe, a team of brothers in Rewey, Wisconsin. Cow’s milk is sourced from Bert Paris in Belleville, Wisconsin. Some wheels of Anabasque are cave-aged at Landmark Creamery for at least three months, while others are sent to one of Standard Market’s three aging caves in Illinoisfor ten months of maturation, which includes repeated washings with a light Brevibacterium linens solution that gives it an orangey tint over time.Pair it with fruity red wines, hard cider and Marcona almonds, or melt it into a butternut squash risotto.Head Cheesemonger Alyssa Stoneof Standard Market says that recent Illinoiscave-aged versions yield notes of strawberries, making for a delicious accompaniment to fresh figs."
Ancho Goat Caciotta,Mozzarella Company,United States,Texas,7.5 in diameter x 2 in height,5 lbs (large) and 1.5 lbs (mini),www.mozzarellaco.com,Goat,Pasteurised,Semi Soft,Animal,Waxed,,Flavor added to paste,"Located in Dallas, Texas, the Mozzarella Company was founded by Paula Lambert in 1982. Paula’s passion for all things Italian was the inspiration for the Company’s creation, although when the company started in the early 80’s, it was somewhat ahead of its time in terms of being able to find a ready market for fresh Italian style mozzarella. However, persistence together with great products really paid off and The Mozzarella Company has grown steadily and expanded over the intervening decades. Today, still under the guidance of Paula, they produce a range of fresh and young, Italian type cheeses, as well as some aged cheeses—including these semi-firm wheels of Caciotta. Produced with pasteurized goat’s milk sourced from different grade “A” farms in Texas and Oklahoma, Ancho Goat Caciotta is a Texas version of Monterey jack speckled with ancho chilies. Wheels are waxed and aged for one month. Other flavors include Traditional (plain) and Mexican Marigold Mint. Mozzarella Company also produces several other varieties using cow`s milk.With a sharp and goaty scent, Ancho Goat Caciotta has a creamy, sticky paste. Flavor is mild, with the chilies contributing more of a smoky herbal flavor than a spicy kick, and the goat’s milk calming the spice and bitterness, while adding a layer of complexity.Pair Ancho Goat Caciotta with a Tempranillo or with a Shiraz."
Angela's Pillow,Farm Fromage,United States,Pennsylvania,,6 oz,farmfromage.com,Cow,Pasteurised,Semi Soft,Vegetable,Mold Ripened,Soft-Ripened (Brie-like),,"Theis milky-sweet bloomy-rind cheese hails from rural Lancaster County, Pennsylvania and is distributed by Farm Fromage, a company launched by Howard Field that aims to boost the local dairy industry. Being somewhat isolated by their location and the prevalent Amish lifestyle, dairy distribution in the region was limited until Field stepped in. The entrepreneur endeavors to promote small, local producers of raw milk and cheese, selling their products to specialty shops and dining establishments in major cities. Without having a shopfront and conducting most of its business online, Farm Fromage has grown from just two farms and one cheesemaker to over 15 farms and six cheesemakers, plus a range of 30 cheeses. Angela`s Pillow is a mold-ripened disk that develops a white fuzzy rind ofPenicillium candidummold while aging. Field likens it to a double-cream camembert.This cheese`s smooth, creamy interior yields rich and buttery flavors.Pair it with a light red, such as Beaujolais."
Annelies,Kaserei Tufertschwil,Switzerland,Appenzell,,,,Cow,Raw,Firm,Animal,,Alpine-style,,"Like Challerhocker? Then try Annelies, a raw cow’s milk cheese that represents a joint effort between New York standby Murray’s Cheese and Walter Rass, Challerhocker creator. In Switzerland’s Appenzell Valley, Rass crafts the wheels which are, at that point, young and mild. The wheels are then sent to New York to age for nine months in caves beneath the city.  From a flagship shop in New York’s Greenwich Village, Murray’s has been slinging cheese since 1940. In 2004, the shop had caves built below the shop, first as better storage for the shop’s swath of cheeses and then as a launchpad for their own affinage program. Now, Murray’s offers a range of Cavemaster Reserve cheeses, a partnership in which young cheeses from a variety of makers are aged by Murray’s in their caves. In order to improve the caves and grow the Cavemaster line, the caves were expanded a few years ago and moved to Murray`s facility in Long Island City, Queens.Annelies grows more sophisticated with age, gaining flavors of roasted nuts and sweet grass and toasty wafting notes of butterscotch and cocoa.Try Annelies with a fruity Napa Valley Pinot Noir. The wine’s berry aromas will highlight the cheese’s sweet toastiness."
Anthill,Woodside Cheese Wrights,Australia,South Australia,,,woodsidecheese.com.au,Goat,Pasteurised,Soft,,Flavor Added,Fresh,Flavor added to rind,"America’s most adventurous turophiles have eagerly awaited the FDA approval of this Australian ant-coated cheese. This tangy fresh chevre sprinkled with arthropods results in a surprisingly approachable burst of citrusy flavor that juxtaposes soft creaminess with a slight crunch.Australia-based Woodside Cheese Wrights has created a name for itself with its artisanal cheeses. It relies on local dairies to provide the goat, cow, and buffalo milk used in their production. Head Cheesemaker Kris Lloyd oversees her passionate team of cheesemakers that includes her son, Mitch Wright.Together, these cheesemakers have produced cheeses that have won upwards of 100 awards since 2006. Although each cheese is made by hand using traditional methods, Wright strives to incorporate unusual Australian ingredients such as saltbush and lemon myrtle.Woodside’s creations are found throughout Australia and have garnered an international audience. Following FDA approval, one of its most unique cheeses is now available in the U.S. This fresh goat chevre was a Super Gold Medalist in the World Cheese Awards, and greatly impressed onlookers with its bold ingenuity. After a five-day maturation using a lactic fermentation process, the cheese is encased with native lemon myrtle and topped with whole green ants.These ants, known as gulguk to the Larrakia people who harvest them in Arnhem Land, are an excellent source of protein and offer a citrusy punch to any dish. The result? A fresh, creamy cheese with a bright burst of citrus.Anthill’s lactic fermentation process and addition of lemon myrtle gives it an acidic edge. It`s got a fresh creaminess combined with a little crunch on the palate from the ants.We love this cheese with a dry sparkling wine."
Appalachian,Meadow Creek Dairy,United States,Virginia,"9 ins square diameter, 3 ins high",8lbs,www.meadowcreekdairy.com,Cow,,Firm,Animal,Natural,Alpine-style,,"Meadow Creek Dairy is a family farm located in the mountains of southwest Virginia. At an elevation of 2,800 feet, the combination of pure water, clean air, and deep soils produce an ideal environment for growing diverse, mineral-rich pastures. Rick and Helen Feete have been farming since 1980 and over the years have worked extremely hard, focusing their attention on constantly improving the genetics and milk quality of their herd of Jersey cows. Meadow Creek`s cheese production is resolutely seasonal. Milking begins in late March, when all the calves are born, to coincide with the new growth of grass. The cows are never confined and are born and raised on pasture, where they graze a diverse mixture of perennial grasses and legumes, supplemented with some grains, salt and Norwegian kelp. In the fall, when the grass declines, milk production naturally winds down too. Christmas Eve is the last day of the milking season and the beginning of a two month rest for the cows and the family. Made in the style of a French Tomme, Appalachian has a firm, supple texture that is a deep, straw-colored yellow. The natural rind is thin and brown-grey in color, similar to a Tomme de Savoie. The square-shaped wheels are aged for 90 days before release and flavors reflect the rich Jersey milk.Appalachian has distinct flavors of fruit (especially lemons), cream and butter with a delicate, smooth and velvety texture."
Appenzeller,Alois Pfister,Switzerland,Appenzell,"12-14 ins diameter, 3.5 ins high",15 lbs,,Cow,PasteurisedRaw,Firm,Animal,WashedNatural,Alpine-style,,"Produced near the town of Appenzell in northeastern Switzerland, Appenzeller is made from cow`s milk and has a history dating back more than 700 years. Appenzeller is a wonderful example of traditional, Swiss mountain cheesemaking at its best. There are now just three local cooperative dairies producing Appenzeller, and milk comes exclusively from the Simmenthaler breed of cow. Traditionally cheeses were only made using raw milk, however, the rules have become less stringent and now some dairies prefer to pasteurize. As with many Swiss mountain cheeses, once the curd is formed and cut, it is then reheated to a higher temperature to expel more whey from the solids, forming smaller pieces of curd in the process. The curd is then pressed while still in the vat, submerged under the whey before being transferred to molds for further pressing. After unmolding, wheels are moved to the maturing rooms where they are aged for 7-12 months. One of the distinctive steps in the maturing process of Appenzeller is that the young cheeses are regularly washed in a special solution of white wine, herbs, spices and occasionally herb brandy. This contributes greatly to the development of the rind and the flavor of the cheese. The texture of Appenzeller is firm, supple and very smooth, dotted with occasional holes or ""eyes."" The interior paste is ivory-white in color.Flavors are incredibly robust, rich and complex, including herbaceous, savory notes of flowers and grasses, accompanied by a rich, mineral tang. The sweetness of the milk provides a balance to all this, but the finish on the palate is long and memorable."
